uf,municipio
GO,Abadia de Goiás
MG,Abadia dos Dourados
GO,Abadiânia
MG,Abaeté
PA,Abaetetuba
CE,Abaiara
BA,Abaíra
BA,Abaré
PR,Abatiá
SC,Abdon Batista
PA,Abel Figueiredo
SC,Abelardo Luz
MG,Abre Campo
PE,Abreu e Lima
TO,Abreulândia
MG,Acaiaca
MA,Açailândia
BA,Acajutiba
PA,Acará
CE,Acarape
CE,Acaraú
RN,Acari
PI,Acauã
RS,Aceguá
CE,Acopiara
MT,Acorizal
AC,Acrelândia
GO,Acreúna
RN,Açu
MG,Açucena
SP,Adamantina
GO,Adelândia
SP,Adolfo
PR,Adrianópolis
BA,Adustina
PE,Afogados da Ingazeira
RN,Afonso Bezerra
ES,Afonso Cláudio
MA,Afonso Cunha
PE,Afrânio
PA,Afuá
PE,Agrestina
PI,Agricolândia
SC,Agrolândia
SC,Agronômica
PA,Água Azul do Norte
MG,Água Boa
MT,Água Boa
AL,Água Branca
PB,Água Branca
PI,Água Branca
MS,Água Clara
MG,Água Comprida
SC,Água Doce
MA,Água Doce do Maranhão
ES,Água Doce do Norte
BA,Água Fria
GO,Água Fria de Goiás
GO,Água Limpa
RN,Água Nova
PE,Água Preta
RS,Água Santa
SP,Aguaí
MG,Aguanil
PE,Águas Belas
SP,Águas da Prata
SC,Águas de Chapecó
SP,Águas de Lindóia
SP,Águas de Santa Bárbara
SP,Águas de São Pedro
MG,Águas Formosas
SC,Águas Frias
GO,Águas Lindas de Goiás
SC,Águas Mornas
MG,Águas Vermelhas
RS,Agudo
SP,Agudos
PR,Agudos do Sul
ES,Águia Branca
PB,Aguiar
TO,Aguiarnópolis
MG,Aimorés
BA,Aiquara
CE,Aiuaba
MG,Aiuruoca
RS,Ajuricaba
MG,Alagoa
PB,Alagoa Grande
PB,Alagoa Nova
PB,Alagoinha
PE,Alagoinha
PI,Alagoinha do Piauí
BA,Alagoinhas
SP,Alambari
MG,Albertina
MA,Alcântara
CE,Alcântaras
PB,Alcantil
MS,Alcinópolis
BA,Alcobaça
MA,Aldeias Altas
RS,Alecrim
ES,Alegre
RS,Alegrete
PI,Alegrete do Piauí
RS,Alegria
MG,Além Paraíba
PA,Alenquer
RN,Alexandria
GO,Alexânia
MG,Alfenas
ES,Alfredo Chaves
SP,Alfredo Marcondes
MG,Alfredo Vasconcelos
SC,Alfredo Wagner
PB,Algodão de Jandaíra
PB,Alhandra
PE,Aliança
TO,Aliança do Tocantins
BA,Almadina
TO,Almas
PA,Almeirim
MG,Almenara
RN,Almino Afonso
PR,Almirante Tamandaré
RS,Almirante Tamandaré do Sul
GO,Aloândia
MG,Alpercata
RS,Alpestre
MG,Alpinópolis
MT,Alta Floresta
RO,Alta Floresta D'Oeste
SP,Altair
PA,Altamira
MA,Altamira do Maranhão
PR,Altamira do Paraná
CE,Altaneira
MG,Alterosa
PE,Altinho
SP,Altinópolis
RR,Alto Alegre
RS,Alto Alegre
SP,Alto Alegre
MA,Alto Alegre do Maranhão
MA,Alto Alegre do Pindaré
RO,Alto Alegre dos Parecis
MT,Alto Araguaia
SC,Alto Bela Vista
MT,Alto Boa Vista
MG,Alto Caparaó
RN,Alto do Rodrigues
RS,Alto Feliz
MT,Alto Garças
GO,Alto Horizonte
MG,Alto Jequitibá
PI,Alto Longá
MT,Alto Paraguai
PR,Alto Paraíso
RO,Alto Paraíso
GO,Alto Paraíso de Goiás
PR,Alto Paraná
MA,Alto Parnaíba
PR,Alto Piquiri
MG,Alto Rio Doce
ES,Alto Rio Novo
CE,Alto Santo
MT,Alto Taquari
PR,Altônia
PI,Altos
SP,Alumínio
AM,Alvarães
MG,Alvarenga
SP,Álvares Florence
SP,Álvares Machado
SP,Álvaro de Carvalho
SP,Alvinlândia
MG,Alvinópolis
RS,Alvorada
TO,Alvorada
RO,Alvorada D'Oeste
MG,Alvorada de Minas
PI,Alvorada do Gurguéia
GO,Alvorada do Norte
PR,Alvorada do Sul
RR,Amajari
MS,Amambai
AP,Amapá
MA,Amapá do Maranhão
PR,Amaporã
PE,Amaraji
RS,Amaral Ferrador
GO,Amaralina
PI,Amarante
MA,Amarante do Maranhão
BA,Amargosa
AM,Amaturá
BA,Amélia Rodrigues
BA,América Dourada
SP,Americana
GO,Americano do Brasil
SP,Américo Brasiliense
SP,Américo de Campos
RS,Ametista do Sul
CE,Amontada
GO,Amorinópolis
PB,Amparo
SP,Amparo
SE,Amparo do São Francisco
MG,Amparo do Serra
PR,Ampére
AL,Anadia
BA,Anagé
PR,Anahy
PA,Anajás
MA,Anajatuba
SP,Analândia
AM,Anamã
TO,Ananás
PA,Ananindeua
GO,Anápolis
PA,Anapu
MA,Anapurus
MS,Anastácio
MS,Anaurilândia
ES,Anchieta
SC,Anchieta
BA,Andaraí
PR,Andirá
BA,Andorinha
MG,Andradas
SP,Andradina
RS,André da Rocha
MG,Andrelândia
SP,Angatuba
MG,Angelândia
MS,Angélica
PE,Angelim
SC,Angelina
BA,Angical
PI,Angical do Piauí
TO,Angico
RN,Angicos
RJ,Angra dos Reis
BA,Anguera
PR,Ângulo
GO,Anhanguera
SP,Anhembi
SP,Anhumas
GO,Anicuns
PI,Anísio de Abreu
SC,Anita Garibaldi
SC,Anitápolis
AM,Anori
RS,Anta Gorda
BA,Antas
PR,Antonina
CE,Antonina do Norte
PI,Antônio Almeida
BA,Antônio Cardoso
MG,Antônio Carlos
SC,Antônio Carlos
MG,Antônio Dias
BA,Antônio Gonçalves
MS,Antônio João
RN,Antônio Martins
PR,Antônio Olinto
RS,Antônio Prado
MG,Antônio Prado de Minas
PB,Aparecida
SP,Aparecida
SP,Aparecida d'Oeste
GO,Aparecida de Goiânia
GO,Aparecida do Rio Doce
TO,Aparecida do Rio Negro
MS,Aparecida do Taboado
RJ,Aperibé
ES,Apiacá
MT,Apiacás
SP,Apiaí
MA,Apicum-Açu
SC,Apiúna
RN,Apodi
BA,Aporá
GO,Aporé
BA,Apuarema
PR,Apucarana
AM,Apuí
CE,Apuiarés
SE,Aquidabã
MS,Aquidauana
CE,Aquiraz
SC,Arabutã
PB,Araçagi
MG,Araçaí
SE,Aracaju
SP,Araçariguama
BA,Araçás
CE,Aracati
BA,Aracatu
SP,Araçatuba
BA,Araci
MG,Aracitaba
CE,Aracoiaba
PE,Araçoiaba
SP,Araçoiaba da Serra
ES,Aracruz
GO,Araçu
MG,Araçuaí
GO,Aragarças
GO,Aragoiânia
TO,Aragominas
TO,Araguacema
TO,Araguaçu
MT,Araguaiana
TO,Araguaína
MT,Araguainha
MA,Araguanã
TO,Araguanã
GO,Araguapaz
MG,Araguari
TO,Araguatins
MA,Araioses
MS,Aral Moreira
BA,Aramari
RS,Arambaré
MA,Arame
SP,Aramina
SP,Arandu
MG,Arantina
SP,Arapeí
AL,Arapiraca
TO,Arapoema
MG,Araponga
PR,Arapongas
MG,Araporã
PR,Arapoti
MG,Arapuá
PR,Arapuã
MT,Araputanga
SC,Araquari
PB,Arara
SC,Araranguá
SP,Araraquara
SP,Araras
CE,Ararendá
MA,Arari
RS,Araricá
CE,Araripe
PE,Araripina
RJ,Araruama
PB,Araruna
PR,Araruna
BA,Arataca
RS,Aratiba
CE,Aratuba
BA,Aratuípe
SE,Arauá
PR,Araucária
MG,Araújos
MG,Araxá
MG,Arceburgo
SP,Arco-Íris
MG,Arcos
PE,Arcoverde
MG,Areado
RJ,Areal
SP,Arealva
PB,Areia
RN,Areia Branca
SE,Areia Branca
PB,Areia de Baraúnas
PB,Areial
SP,Areias
SP,Areiópolis
MT,Arenápolis
GO,Arenópolis
RN,Arês
MG,Argirita
MG,Aricanduva
MG,Arinos
MT,Aripuanã
RO,Ariquemes
SP,Ariranha
PR,Ariranha do Ivaí
RJ,Armação dos Búzios
SC,Armazém
CE,Arneiroz
PI,Aroazes
PB,Aroeiras
PI,Aroeiras do Itaim
PI,Arraial
RJ,Arraial do Cabo
TO,Arraias
RS,Arroio do Meio
RS,Arroio do Padre
RS,Arroio do Sal
RS,Arroio do Tigre
RS,Arroio dos Ratos
RS,Arroio Grande
SC,Arroio Trinta
SP,Artur Nogueira
GO,Aruanã
SP,Arujá
SC,Arvoredo
RS,Arvorezinha
SC,Ascurra
SP,Aspásia
PR,Assaí
CE,Assaré
SP,Assis
AC,Assis Brasil
PR,Assis Chateaubriand
PB,Assunção
PI,Assunção do Piauí
MG,Astolfo Dutra
PR,Astorga
AL,Atalaia
PR,Atalaia
AM,Atalaia do Norte
SC,Atalanta
MG,Ataléia
SP,Atibaia
ES,Atílio Vivácqua
TO,Augustinópolis
PA,Augusto Corrêa
MG,Augusto de Lima
RS,Augusto Pestana
RS,Áurea
BA,Aurelino Leal
SP,Auriflama
GO,Aurilândia
CE,Aurora
SC,Aurora
PA,Aurora do Pará
TO,Aurora do Tocantins
AM,Autazes
